,link,source,thumbnail,query,lang,country,termid
0,https://www.google.com/search?q=Malnutrition&gl=US&hl=en&tbm=isch&source=iu&ictx=1&vet=1&fir=yhpri-kPYEEp3M%252C3GQmW41c8RWHdM%252C_%253BtYV2ZSs1_-QWMM%252CQa7cqmKt3aIjCM%252C_%253BKGSCWmtXpOtkgM%252CdX7LRHX5To-ETM%252C_%253BgfJcDWG0HBihUM%252Cu_QzpThhnkEvcM%252C_%253BHAwaohleT1tRqM%252CrHf3qq0wx-kwBM%252C_%253BqZ54QQumxM4ftM%252CSMkiQUEU1G3-8M%252C_%253Bu6RRy9vTqjSaiM%252Cc5gWXWIkwOvGCM%252C_%253BkXAs4sVZCOdxLM%252C3bAECDydK8TP4M%252C_%253B9GwwUnk8-jVGNM%252CnDUtcOCE94ynTM%252C_%253BZ-uB3m9Vm6QTxM%252CbKXTVurgCKFcsM%252C_&usg=AI4_-kR6y8m-DW_GJUv8dVyt7o575mcXpw&sa=X&ved=2ahUKEwjwrcWt_Nn3AhXnmOAKHd_xCuoQ9QF6BAgnEAE#imgrc=yhpri-kPYEEp3M,https://en.wikipedia.org/wiki/Malnutrition,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTecTHDWMmglK_Ln1YzBoOaPw-VeIQasUP1vg44yUZ1vg&s,Malnutrition,en,US,53
1,https://www.google.com/search?q=Malnutrition&gl=US&hl=en&tbm=isch&source=iu&ictx=1&vet=1&fir=yhpri-kPYEEp3M%252C3GQmW41c8RWHdM%252C_%253BtYV2ZSs1_-QWMM%252CQa7cqmKt3aIjCM%252C_%253BKGSCWmtXpOtkgM%252CdX7LRHX5To-ETM%252C_%253BgfJcDWG0HBihUM%252Cu_QzpThhnkEvcM%252C_%253BHAwaohleT1tRqM%252CrHf3qq0wx-kwBM%252C_%253BqZ54QQumxM4ftM%252CSMkiQUEU1G3-8M%252C_%253Bu6RRy9vTqjSaiM%252Cc5gWXWIkwOvGCM%252C_%253BkXAs4sVZCOdxLM%252C3bAECDydK8TP4M%252C_%253B9GwwUnk8-jVGNM%252CnDUtcOCE94ynTM%252C_%253BZ-uB3m9Vm6QTxM%252CbKXTVurgCKFcsM%252C_&usg=AI4_-kR6y8m-DW_GJUv8dVyt7o575mcXpw&sa=X&ved=2ahUKEwjwrcWt_Nn3AhXnmOAKHd_xCuoQ9QF6BAhWEAE#imgrc=tYV2ZSs1_-QWMM,https://directorsblog.nih.gov/2013/02/05/who-knew-gut-bacteria-contribute-to-malnutrition/,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTFSC3zP_EkdSjt84G7-5ghQk5ADRoXyUxlG8SORFMw&s,Malnutrition,en,US,53
2,https://www.google.com/search?q=Malnutrition&gl=US&hl=en&tbm=isch&source=iu&ictx=1&vet=1&fir=yhpri-kPYEEp3M%252C3GQmW41c8RWHdM%252C_%253BtYV2ZSs1_-QWMM%252CQa7cqmKt3aIjCM%252C_%253BKGSCWmtXpOtkgM%252CdX7LRHX5To-ETM%252C_%253BgfJcDWG0HBihUM%252Cu_QzpThhnkEvcM%252C_%253BHAwaohleT1tRqM%252CrHf3qq0wx-kwBM%252C_%253BqZ54QQumxM4ftM%252CSMkiQUEU1G3-8M%252C_%253Bu6RRy9vTqjSaiM%252Cc5gWXWIkwOvGCM%252C_%253BkXAs4sVZCOdxLM%252C3bAECDydK8TP4M%252C_%253B9GwwUnk8-jVGNM%252CnDUtcOCE94ynTM%252C_%253BZ-uB3m9Vm6QTxM%252CbKXTVurgCKFcsM%252C_&usg=AI4_-kR6y8m-DW_GJUv8dVyt7o575mcXpw&sa=X&ved=2ahUKEwjwrcWt_Nn3AhXnmOAKHd_xCuoQ9QF6BAhVEAE#imgrc=KGSCWmtXpOtkgM,https://www.asianage.com/india/all-india/250919/malnutrition-free-india-by-2022-is-it-a-realisable-goal.html,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRWY1NHV2wvmtqzYO4F-S6blTp0qSdtHqUV_PekEmn2kg&s,Malnutrition,en,US,53
3,https://www.google.com/search?q=Malnutrition&gl=US&hl=en&tbm=isch&source=iu&ictx=1&vet=1&fir=yhpri-kPYEEp3M%252C3GQmW41c8RWHdM%252C_%253BtYV2ZSs1_-QWMM%252CQa7cqmKt3aIjCM%252C_%253BKGSCWmtXpOtkgM%252CdX7LRHX5To-ETM%252C_%253BgfJcDWG0HBihUM%252Cu_QzpThhnkEvcM%252C_%253BHAwaohleT1tRqM%252CrHf3qq0wx-kwBM%252C_%253BqZ54QQumxM4ftM%252CSMkiQUEU1G3-8M%252C_%253Bu6RRy9vTqjSaiM%252Cc5gWXWIkwOvGCM%252C_%253BkXAs4sVZCOdxLM%252C3bAECDydK8TP4M%252C_%253B9GwwUnk8-jVGNM%252CnDUtcOCE94ynTM%252C_%253BZ-uB3m9Vm6QTxM%252CbKXTVurgCKFcsM%252C_&usg=AI4_-kR6y8m-DW_GJUv8dVyt7o575mcXpw&sa=X&ved=2ahUKEwjwrcWt_Nn3AhXnmOAKHd_xCuoQ9QF6BAg3EAE#imgrc=gfJcDWG0HBihUM,https://www.unicef.org/nutrition/child-wasting,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSCktxNOko6jZLbFG0COLMBwoYB8LjR6WyByRy3V9b3uw&s,Malnutrition,en,US,53
4,https://www.google.com/search?q=Malnutrition&gl=US&hl=en&tbm=isch&source=iu&ictx=1&vet=1&fir=yhpri-kPYEEp3M%252C3GQmW41c8RWHdM%252C_%253BtYV2ZSs1_-QWMM%252CQa7cqmKt3aIjCM%252C_%253BKGSCWmtXpOtkgM%252CdX7LRHX5To-ETM%252C_%253BgfJcDWG0HBihUM%252Cu_QzpThhnkEvcM%252C_%253BHAwaohleT1tRqM%252CrHf3qq0wx-kwBM%252C_%253BqZ54QQumxM4ftM%252CSMkiQUEU1G3-8M%252C_%253Bu6RRy9vTqjSaiM%252Cc5gWXWIkwOvGCM%252C_%253BkXAs4sVZCOdxLM%252C3bAECDydK8TP4M%252C_%253B9GwwUnk8-jVGNM%252CnDUtcOCE94ynTM%252C_%253BZ-uB3m9Vm6QTxM%252CbKXTVurgCKFcsM%252C_&usg=AI4_-kR6y8m-DW_GJUv8dVyt7o575mcXpw&sa=X&ved=2ahUKEwjwrcWt_Nn3AhXnmOAKHd_xCuoQ9QF6BAg7EAE#imgrc=HAwaohleT1tRqM,https://eduindex.org/2021/05/31/malnutrition/,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSC64aVCvf8aBMLeohM1rYQnQNB7eBxBNo0RNV5QANKrA&s,Malnutrition,en,US,53
5,https://www.google.com/search?q=Malnutrition&gl=US&hl=en&tbm=isch&source=iu&ictx=1&vet=1&fir=yhpri-kPYEEp3M%252C3GQmW41c8RWHdM%252C_%253BtYV2ZSs1_-QWMM%252CQa7cqmKt3aIjCM%252C_%253BKGSCWmtXpOtkgM%252CdX7LRHX5To-ETM%252C_%253BgfJcDWG0HBihUM%252Cu_QzpThhnkEvcM%252C_%253BHAwaohleT1tRqM%252CrHf3qq0wx-kwBM%252C_%253BqZ54QQumxM4ftM%252CSMkiQUEU1G3-8M%252C_%253Bu6RRy9vTqjSaiM%252Cc5gWXWIkwOvGCM%252C_%253BkXAs4sVZCOdxLM%252C3bAECDydK8TP4M%252C_%253B9GwwUnk8-jVGNM%252CnDUtcOCE94ynTM%252C_%253BZ-uB3m9Vm6QTxM%252CbKXTVurgCKFcsM%252C_&usg=AI4_-kR6y8m-DW_GJUv8dVyt7o575mcXpw&sa=X&ved=2ahUKEwjwrcWt_Nn3AhXnmOAKHd_xCuoQ9QF6BAhBEAE#imgrc=qZ54QQumxM4ftM,https://www.nature.com/articles/d41586-022-01076-5,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQVSEg1a6_Mr7_BaKtD_ld_sp0g6btVqhN0aNI4UA5fGA&s,Malnutrition,en,US,53
6,https://www.google.com/search?q=Malnutrition&gl=US&hl=en&tbm=isch&source=iu&ictx=1&vet=1&fir=yhpri-kPYEEp3M%252C3GQmW41c8RWHdM%252C_%253BtYV2ZSs1_-QWMM%252CQa7cqmKt3aIjCM%252C_%253BKGSCWmtXpOtkgM%252CdX7LRHX5To-ETM%252C_%253BgfJcDWG0HBihUM%252Cu_QzpThhnkEvcM%252C_%253BHAwaohleT1tRqM%252CrHf3qq0wx-kwBM%252C_%253BqZ54QQumxM4ftM%252CSMkiQUEU1G3-8M%252C_%253Bu6RRy9vTqjSaiM%252Cc5gWXWIkwOvGCM%252C_%253BkXAs4sVZCOdxLM%252C3bAECDydK8TP4M%252C_%253B9GwwUnk8-jVGNM%252CnDUtcOCE94ynTM%252C_%253BZ-uB3m9Vm6QTxM%252CbKXTVurgCKFcsM%252C_&usg=AI4_-kR6y8m-DW_GJUv8dVyt7o575mcXpw&sa=X&ved=2ahUKEwjwrcWt_Nn3AhXnmOAKHd_xCuoQ9QF6BAhTEAE#imgrc=u6RRy9vTqjSaiM,https://www.verywellhealth.com/malnutrition-criteria-quiz-5207004,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSbR5qyu_ktH09slg7mEWNwsZmafFHeaIz404k_yy6zKg&s,Malnutrition,en,US,53
7,https://www.google.com/search?q=Malnutrition&gl=US&hl=en&tbm=isch&source=iu&ictx=1&vet=1&fir=yhpri-kPYEEp3M%252C3GQmW41c8RWHdM%252C_%253BtYV2ZSs1_-QWMM%252CQa7cqmKt3aIjCM%252C_%253BKGSCWmtXpOtkgM%252CdX7LRHX5To-ETM%252C_%253BgfJcDWG0HBihUM%252Cu_QzpThhnkEvcM%252C_%253BHAwaohleT1tRqM%252CrHf3qq0wx-kwBM%252C_%253BqZ54QQumxM4ftM%252CSMkiQUEU1G3-8M%252C_%253Bu6RRy9vTqjSaiM%252Cc5gWXWIkwOvGCM%252C_%253BkXAs4sVZCOdxLM%252C3bAECDydK8TP4M%252C_%253B9GwwUnk8-jVGNM%252CnDUtcOCE94ynTM%252C_%253BZ-uB3m9Vm6QTxM%252CbKXTVurgCKFcsM%252C_&usg=AI4_-kR6y8m-DW_GJUv8dVyt7o575mcXpw&sa=X&ved=2ahUKEwjwrcWt_Nn3AhXnmOAKHd_xCuoQ9QF6BAhUEAE#imgrc=kXAs4sVZCOdxLM,https://www.slideshare.net/LamiaaGamal/malnutrition-47406428,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcR5pbrlEBTyJ4QeRv5Whfs5PA715II6GzObH9Ajm3Kdqg&s,Malnutrition,en,US,53
8,https://www.google.com/search?q=Malnutrition&gl=US&hl=en&tbm=isch&source=iu&ictx=1&vet=1&fir=yhpri-kPYEEp3M%252C3GQmW41c8RWHdM%252C_%253BtYV2ZSs1_-QWMM%252CQa7cqmKt3aIjCM%252C_%253BKGSCWmtXpOtkgM%252CdX7LRHX5To-ETM%252C_%253BgfJcDWG0HBihUM%252Cu_QzpThhnkEvcM%252C_%253BHAwaohleT1tRqM%252CrHf3qq0wx-kwBM%252C_%253BqZ54QQumxM4ftM%252CSMkiQUEU1G3-8M%252C_%253Bu6RRy9vTqjSaiM%252Cc5gWXWIkwOvGCM%252C_%253BkXAs4sVZCOdxLM%252C3bAECDydK8TP4M%252C_%253B9GwwUnk8-jVGNM%252CnDUtcOCE94ynTM%252C_%253BZ-uB3m9Vm6QTxM%252CbKXTVurgCKFcsM%252C_&usg=AI4_-kR6y8m-DW_GJUv8dVyt7o575mcXpw&sa=X&ved=2ahUKEwjwrcWt_Nn3AhXnmOAKHd_xCuoQ9QF6BAhSEAE#imgrc=9GwwUnk8-jVGNM,https://www.thenewhumanitarian.org/report/89970/food-political-will-can-solve-malnutrition,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTS9mJ9Mfy8BekCmUa5VAhxmlPDcgOcbIchmq1IM9Lj&s,Malnutrition,en,US,53
9,https://www.google.com/search?q=Malnutrition&gl=US&hl=en&tbm=isch&source=iu&ictx=1&vet=1&fir=yhpri-kPYEEp3M%252C3GQmW41c8RWHdM%252C_%253BtYV2ZSs1_-QWMM%252CQa7cqmKt3aIjCM%252C_%253BKGSCWmtXpOtkgM%252CdX7LRHX5To-ETM%252C_%253BgfJcDWG0HBihUM%252Cu_QzpThhnkEvcM%252C_%253BHAwaohleT1tRqM%252CrHf3qq0wx-kwBM%252C_%253BqZ54QQumxM4ftM%252CSMkiQUEU1G3-8M%252C_%253Bu6RRy9vTqjSaiM%252Cc5gWXWIkwOvGCM%252C_%253BkXAs4sVZCOdxLM%252C3bAECDydK8TP4M%252C_%253B9GwwUnk8-jVGNM%252CnDUtcOCE94ynTM%252C_%253BZ-uB3m9Vm6QTxM%252CbKXTVurgCKFcsM%252C_&usg=AI4_-kR6y8m-DW_GJUv8dVyt7o575mcXpw&sa=X&ved=2ahUKEwjwrcWt_Nn3AhXnmOAKHd_xCuoQ9QF6BAhFEAE#imgrc=Z-uB3m9Vm6QTxM,https://borgenproject.org/malnutrition-bhutan/,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQBXfMn2zhiUxiqV-X-2SG9o_4WJ_OS5VmnZ7iHNo-p0g&s,Malnutrition,en,US,53
